"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.12E-05,0.04,1436.1,,,,4/28/2008,2008,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65,35633,35796,1.94E-03,0.01,1432,,,,8/31/2013,2013,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0,1440,1459,1.21E-03,101.4,114.9,29,,,11/15/1974,1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35777,35795,2.13E-04,0.02,1436.1,"4,500",,"10,000",9/9/2005,2005,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,1.07E-04,0.01,1436.08,"5,910","3,805","16,000",7/18/2004,2004,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,1.90E-04,0.01,1436.1,"4,715",,"17,500",4/9/2007,2007,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35773,35799,3.08E-04,0.01,1436.08,"4,905",,"17,500",4/15/2013,2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntelSat,NR,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,,LEO,Sun-Synchronous,0,612,696,5.98E-03,97.96,96.99,2,,,6/19/2014,2014,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034,"Developmental communications systems operating at VHF,UHF and S-band, and an Earth-imaging system with detectors in the near infrared and visible bands. Released from Unisat 6 June 20 at 21:07:00 from the same deployer as Aerocube 6.",,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOBA-Velox 3 ,NR (10/17),Singapore/Japan,Nanyang Technological University/Kyushu Institute of Technology,Civil,Technology Development,,LEO,Non-Polar Inclined,0,398,407,6.64E-04,51.64,92.61,2,,,12/9/2016,2016,0.5,Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan,International Space Station,Nanorack Deployer,1998-067KX,41936,Micropropulsion development.,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,12,,6/29/2004,2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,8.52E-03,97.9,98,12,12,,6/19/2014,2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,12,,6/29/2004,2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,7.38E-03,98.18,97,12,12,,7/29/2009,2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,12,,7/29/2009,2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,5.98E-03,98.2,97.8,12,12,,8/17/2011,2011,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,4.22E-03,97.8,97.17,12,12,,11/21/2013,2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 8 (exactView-12),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,5.36E-03,97.8,97.99,12,12,,11/21/2013,2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 9 (exactView-11),NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,7.25E-03,97.9,98,12,12,,6/19/2014,2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.04,35778,35794,1.90E-04,0.01,1436.08,"4,680",,,4/12/2005,2005,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,76.5,35864,35874,1.18E-04,0.03,1440.31,"5,054",,,3/31/2012,2012,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,142,35782,35788,7.12E-05,0.12,1436.01,"5,200",,"10,500",10/16/2015,2015,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.,,JM/12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,87.68,35778,35795,2.02E-04,0.02,1436.12,"3,000","1,418","6,797 (EOL)",5/30/1998,1998,15,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354,"24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,19.99,35766,35805,4.63E-04,0.06,1436.06,"4,630",,,9/21/2011,2011,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders",,JM/1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 7F (Nimiq 1) ,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,44.5,35778,35794,1.90E-04,0.01,1436.09,"3,600","1,700","8,600",5/20/1999,1999,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkyd-6A,NR (5/18),USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,0,493,505,8.73E-04,97.5,94.5,10,,,1/11/2018,2018,,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,,Imaging system that is to be tested in space for future application in asteroid close-up surveys to identify water and water-bearing minerals.,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.8,35778,35795,2.02E-04,0.01,1436.07,"3,000",,,10/16/2014,2014,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.",,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81,35786,35801,1.78E-04,0.01,1436.06,"2,977",,"4,600",9/30/2015,2015,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,,,JM/12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-3S (Asiasat 3SA),China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.55,35780,35792,1.42E-04,0.02,1436.07,"3,480","2,500","10,000",3/21/1999,1999,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-4 ,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122.24,35784,35789,5.93E-05,0,1436.1,"4,137","2,275","9,500",4/12/2003,2003,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.5,35778,35795,2.02E-04,0,1436.11,"3,760",,,8/11/2009,2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",,JM/10/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-6 (Thaicom-7),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120,35783,35793,1.19E-04,0.07,1436.17,"3,700",,,9/7/2014,2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.5,35782,35793,1.30E-04,0.02,1436.17,"3,813",,,11/25/2011,2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",,JM/1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.5,35781,35793,1.42E-04,0.07,1436.1,"4,500",,"8,500",8/5/2014,2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-9,NR (3/18),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122,35783,35790,8.30E-05,0.02,1436.1,"6,140",,,9/28/2017,2017,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,"38 Ku-band, 28 C-band transponders. ",,JM/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaStar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,104.97,35773,35801,3.32E-04,0.02,1436.15,"2,775","1,530","5,600",3/21/2000,2000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,507,7.27E-05,97.48,94.75,500,,,11/6/2014,2014,3,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),NR (5/18),Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,493,505,8.73E-04,97.3,94.5,570,,,1/17/2018,2018,3,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,X-band radar.,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),NR (3/18),USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,Space Science,LEO,Non-Polar Inclined,0,400,405,3.69E-04,51.6,92.6,12,,,11/20/2017,2017,1,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer,1998-067NH,43020,"Technology demonstration of astrophysical measurements using a Cubesat, with a primary goal of training early-career engineers.",,JMSatcat/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1D ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,-67.6,35776,35795,2.25E-04,1.15,1436.08,"2,924","1,700","3,300",11/1/1994,1994,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1F ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.22,35778,35797,2.25E-04,0.03,1436.15,"3,010","1,800","4,400",4/18/1996,1996,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1G ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.24,35780,35791,1.30E-04,0.04,1436.08,"3,379","3,010","6,600",12/2/1997,1997,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1H ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,-67.6,35776,35794,2.13E-04,0.06,1436.04,"3,690","2,300","6,600",6/18/1999,1999,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.16,35766,35807,4.86E-04,0.08,1436.1,"4,332",,"12,000",4/20/2006,2006,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.3,35772,35798,3.08E-04,0.05,1436.03,"4,500",,"13,000",5/4/2007,2007,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.2,35804,35852,5.69E-04,0.14,1438.2,"5,345",,"9,900",11/5/2008,2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,,SC - ASCR 1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35715,35780,7.72E-04,0.12,1434.1,"5,350",,,8/6/2011,2011,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,Direct-to-home and HD television.,,SC - ASCR 9/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2A ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.16,35776,35797,2.49E-04,0.08,1436.12,"3,635","2,500","7,000",8/30/1998,1998,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2B ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.33,35772,35801,3.44E-04,0.07,1436.11,"3,315","1,400","7,800",9/14/2000,2000,14,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2C ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.21,35768,35804,4.27E-04,0.07,1436.12,"3,643","2,000","7,000",6/16/2001,2001,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.14,35770,35802,3.80E-04,0.07,1436.1,"1,420",700,"1,500",12/19/2000,2000,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35781,35793,1.42E-04,0.11,1436.12,"6,052",,"13,000",9/29/2013,2013,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35777,35795,2.13E-04,0.06,1436.07,"6,000","2,660",,9/28/2012,2012,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778,"Prime position for SES - BBC, ITV, Channel 5.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2G,NR (12/16),Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35785,35789,4.74E-05,0.09,1436.11,"6,000",,"13,000",12/27/2014,2014,15,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 3A ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.48,35770,35804,4.03E-04,0.06,1436.07,"1,500",750,"1,500",3/29/2002,2002,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.5,35768,35806,4.51E-04,0.08,1436.11,"5,471",,"10,000",5/21/2010,2010,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 5B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.55,35787,35793,7.12E-05,0.05,1436.26,"5,724",,,3/22/2014,2014,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astranis  Demosat-2,NR (5/18),USA,Astranis,Commercial,Technology Development,,LEO,Sun-Synchronous,0,494,505,8.01E-04,97.5,94.5,,,,1/11/2018,2018,,Astranis,USA,Satish Dhawan Space Centre,PSLV,2018-004R,43126,Pathfinder for Astranis' small GEO satellites.,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
